@relation dataFromCsv

@attribute date date "yyyy-MM-dd HH:mm:ss"
@attribute pointId numeric
@attribute userId numeric
@attribute x numeric
@attribute y numeric
@attribute flag {ok,no}

@data
'2024-03-26 09:34:12',53,1,98.766968,76.764549,ok
'2024-03-26 09:34:22',54,1,99.105537,78.359596,ok
'2024-03-26 09:34:32',55,1,100.813942,78.532837,ok
'2024-03-26 09:34:42',56,1,500.461456,0.413635,ok
'2024-03-26 09:34:52',57,1,104.81015,81.169106,ok
'2024-03-26 09:35:02',58,1,105.400299,82.071205,ok
'2024-03-26 09:35:12',59,1,106.973404,83.705185,ok
'2024-03-26 09:35:22',60,1,108.680954,85.615776,ok
'2024-03-26 09:35:32',61,1,111.490425,87.379044,ok
'2024-03-26 09:35:42',62,1,113.693077,89.082253,ok
