@relation dataFromCsv

@attribute date date "yyyy-MM-dd HH:mm:ss"
@attribute pointId numeric
@attribute userId numeric
@attribute x numeric
@attribute y numeric
@attribute flag {ok,no}

@data
'2024-03-26 09:32:12',41,1,77.08699,65.632484,ok
'2024-03-26 09:40:12',89,1,149.68428,114.150177,ok
'2024-03-26 09:40:22',90,1,151.243561,115.026321,ok
'2024-03-26 09:40:32',91,1,152.298264,116.385063,ok
'2024-03-26 09:40:42',92,1,155.150208,116.519592,ok
'2024-03-26 09:40:52',93,1,156.376633,116.962433,ok
'2024-03-26 09:41:02',94,1,400.679047,118.577728,ok
'2024-03-26 09:41:12',95,1,160.150833,118.711205,ok
'2024-03-26 09:41:22',96,1,0.74919,120.568909,ok
'2024-03-26 09:41:32',97,1,163.269379,121.164948,ok
'2024-03-26 09:41:42',98,1,163.686996,121.696426,ok
'2024-03-26 09:41:52',99,1,164.789185,122.812309,ok
